Approved symbol	Approved name	Locus type
A1BG	alpha-1-B glycoprotein	gene with protein product
A1BG-AS1	A1BG antisense RNA 1	RNA, long non-coding
A1CF	APOBEC1 complementation factor	gene with protein product
A1S9T	symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)	unknown
A2M	alpha-2-macroglobulin	gene with protein product
A2M-AS1	A2M antisense RNA 1	RNA, long non-coding
A2ML1	alpha-2-macroglobulin like 1	gene with protein product
A2ML1-AS1	A2ML1 antisense RNA 1	RNA, long non-coding
A2ML1-AS2	A2ML1 antisense RNA 2	RNA, long non-coding
A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene
A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	unknown
A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	unknown
A3GALT2	alpha 1,3-galactosyltransferase 2	gene with protein product
A4GALT	alpha 1,4-galactosyltransferase (P blood group)	gene with protein product
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	gene with protein product
A12M1	adenovirus-12 chromosome modification site 1C	unknown
A12M2	adenovirus-12 chromosome modification site 1A	unknown
A12M3	adenovirus-12 chromosome modification site 1B	unknown
A12M4	adenovirus-12 chromosome modification site 17	unknown
AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	phenotype only
AAAS	aladin WD repeat nucleoporin	gene with protein product
AABT	amino acid transport, beta	unknown
AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	unknown
AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	unknown
AACS	acetoacetyl-CoA synthetase	gene with protein product
AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene
