Oncogene	TumorSuppressor	Kinase	DriverGene
ACVR1	ACVR1B	AAK1	ABL1
AKT1	ACVR2A	AATK	ACVR1
ARID1A	AJUBA	ABL1	ACVR1B
BCOR	ALB	ABL2	ACVR2A
BRAF	AMER1	ACTR2	AJUBA
CACNA1A	APC	ACVR1	AKT1
CARD11	APOB	ACVR1B	ALB
CCND1	ARHGAP35	ACVR1C	ALK
CD79B	ARID1A	ACVR2A	AMER1
CDH1	ARID2	ACVR2B	APC
CDK4	ARID5B	ACVRL1	APOB
CDKN1A	ASXL1	ADCK1	AR
CEBPA	ASXL2	ADCK2	ARAF
CHD4	ATF7IP	ADCK3	ARHGAP35
CNBD1	ATM	ADCK4	ARID1A
COL5A1	ATR	ADCK5	ARID2
CTNNB1	ATRX	ADK	ARID5B
CUL1	ATXN3	ADRBK1	ASXL1
CYSLTR2	AXIN1	ADRBK2	ASXL2
DACH1	AXIN2	AGK	ATF7IP
DHX9	B2M	AK1	ATM
DIAPH2	BAP1	AK2	ATR
DICER1	BCOR	AK3	ATRX
DMD	BRCA1	AK4	ATXN3
EEF1A1	BRCA2	AK5	AXIN1
EGFR	BRD7	AK6	AXIN2
EIF1AX	BTG2	AK7	B2M
EP300	CASP8	AK8	BAP1
EPAS1	CBFB	AK9	BCL2
ERBB2	CD70	AKT1	BCL2L11
ERBB3	CDH1	AKT2	BCOR
ERBB4	CDK12	AKT3	BRAF
ERCC2	CDKN1A	ALK	BRCA1
FAM46D	CDKN1B	ALPK1	BRCA2
FBXW7	CDKN2A	ALPK2	BRD7
FGFR2	CDKN2C	ALPK3	BTG2
FGFR3	CHD3	AMHR2	CACNA1A
FLT3	CHD4	ANKK1	CARD11
FOXA1	CHD8	ARAF	CASP8
GNA11	CHEK2	ATM	CBFB
GNA13	CIC	ATR	CBWD3
GNAQ	CREB3L3	AURKA	CCND1
GNAS	CREBBP	AURKB	CD70
GRIN2D	CSDE1	AURKC	CD79B
GTF2I	CTCF	AXL	CDH1
H3F3A	CTNND1	BCKDK	CDK12
HIST1H1E	CUL3	BCR	CDK4
HRAS	CYLD	BLK	CDKN1A
IDH1	DAZAP1	BMP2K	CDKN1B
IDH2	DDX3X	BMPR1A	CDKN2A
KEAP1	DNMT3A	BMPR1B	CDKN2C
KIT	EEF2	BMPR2	CEBPA
KLF5	ELF3	BMX	CHD3
KRAS	EP300	BRAF	CHD4
LZTR1	EPHA2	BRD2	CHD8
MACF1	FAT1	BRD3	CHEK2
MAP2K1	FBXW7	BRD4	CIC
MAPK1	FLNA	BRDT	CNBD1
MAX	FOXA1	BRSK1	COL5A1
MECOM	FOXA2	BRSK2	CREB3L3
MED12	FOXQ1	BTK	CREBBP
MET	FUBP1	BUB1	CSDE1
MSH3	GATA3	BUB1B	CTCF
MTOR	GPS2	CALM1	CTNNB1
MYC	HIST1H1E	CALM2	CTNND1
MYCN	HLA-A	CALM3	CUL1
MYD88	HLA-B	CAMK1	CUL3
MYH9	HUWE1	CAMK1D	CYLD
NFE2L2	IL6ST	CAMK1G	CYSLTR2
NPM1	INPPL1	CAMK2A	DACH1
NRAS	IRF2	CAMK2B	DAZAP1
PCBP1	IRF6	CAMK2D	DDX3X
PDGFRA	JAK1	CAMK2G	DHX9
PIK3CA	KANSL1	CAMK4	DIAPH2
PIK3CG	KDM5C	CAMKK1	DICER1
PIK3R1	KDM6A	CAMKK2	DMD
PIK3R2	KEAP1	CAMKV	DNMT3A
PIM1	KIF1A	CARKD	EEF1A1
PLCB4	KMT2A	CASK	EEF2
PLCG1	KMT2B	CDC42BPA	EGFR
PLXNB2	KMT2C	CDC42BPB	EGR3
PMS1	KMT2D	CDC42BPG	EIF1AX
POLRMT	KRT222	CDC7	ELF3
PPP2R1A	LATS1	CDK1	EP300
PPP6C	LATS2	CDK10	EPAS1
PTPDC1	LZTR1	CDK11A	EPHA2
PTPN11	MAP2K4	CDK11B	EPHA3
PTPRC	MAP3K1	CDK12	ERBB2
RAC1	MAP3K4	CDK13	ERBB3
RET	MEN1	CDK14	ERBB4
RHOA	MET	CDK15	ERCC2
RHOB	MGA	CDK16	ESR1
RQCD1	MSH6	CDK17	EZH2
RRAS2	MUC6	CDK18	FAM46D
RXRA	NCOR1	CDK19	FAT1
SETBP1	NF1	CDK2	FBXW7
SF1	NF2	CDK20	FGFR1
SF3B1	NIPBL	CDK3	FGFR2
SMAD4	NOTCH1	CDK4	FGFR3
SMARCA4	NRAS	CDK5	FLNA
SMARCB1	NSD1	CDK6	FLT3
SMC1A	NUP133	CDK7	FOXA1
SMC3	NUP93	CDK8	FOXA2
SOS1	PBRM1	CDK9	FOXQ1
SOX17	PDS5B	CDKL1	FUBP1
SPOP	PGR	CDKL2	GABRA6
TAF1	PHF6	CDKL3	GATA3
TP53	PIK3R1	CDKL4	GNA11
U2AF1	PMS2	CDKL5	GNA13
UNCX	PRKAR1A	CERK	GNAQ
WHSC1	PSIP1	CHEK1	GNAS
WT1	PTCH1	CHEK2	GPS2
XPO1	PTEN	CHKA	GRIN2D
ZCCHC12	PTMA	CHKB	GTF2I
ZNF133	RASA1	CHUK	H3F3A
	RB1	CIT	H3F3C
	RBM10	CKB	HGF
	RFC1	CKM	HIST1H1C
	RNF111	CKMT1A	HIST1H1E
	RNF43	CKMT1B	HLA-A
	RPL22	CKMT2	HLA-B
	RPL5	CKS1B	HRAS
	RPS6KA3	CKS2	HUWE1
	RUNX1	CLK1	IDH1
	SCAF4	CLK2	IDH2
	SETD2	CLK3	IL6ST
	SIN3A	CLK4	IL7R
	SMAD2	CLUL1	INPPL1
	SMAD4	CMPK1	IRF2
	SMARCA1	CMPK2	IRF6
	SMARCA4	CSF1R	JAK1
	SOX9	CSK	JAK2
	SPTA1	CSNK1A1	JAK3
	SPTAN1	CSNK1A1L	KANSL1
	STAG2	CSNK1D	KDM5C
	STK11	CSNK1E	KDM6A
	TBL1XR1	CSNK1G1	KEAP1
	TBX3	CSNK1G2	KEL
	TCEB1	CSNK1G3	KIF1A
	TCF12	CSNK2A1	KIT
	TCF7L2	CSNK2A2	KLF5
	TGFBR2	CSNK2A3	KMT2A
	TGIF1	CSNK2B	KMT2B
	THRAP3	DAK	KMT2C
	TMSB4X	DAPK1	KMT2D
	TNFAIP3	DAPK2	KRAS
	TP53	DAPK3	KRT222
	TRAF3	DCAKD	LATS1
	TSC1	DCK	LATS2
	TSC2	DCLK1	LEMD2
	TXNIP	DCLK2	LZTR1
	USP9X	DCLK3	MACF1
	VHL	DDR1	MAP2K1
	WT1	DDR2	MAP2K4
	ZBTB20	DGKA	MAP3K1
	ZBTB7B	DGKB	MAP3K4
	ZFHX3	DGKD	MAPK1
	ZFP36L1	DGKE	MAX
	ZFP36L2	DGKG	MECOM
	ZMYM2	DGKH	MED12
	ZMYM3	DGKI	MEN1
	ZNF750	DGKK	MET
		DGKQ	MGA
		DGKZ	MGMT
		DGUOK	MLH1
		DMPK	MSH2
		DOLK	MSH3
		DSTYK	MSH6
		DTYMK	MTOR
		DYRK1A	MUC6
		DYRK1B	MYC
		DYRK2	MYCN
		DYRK3	MYD88
		DYRK4	MYH9
		EEF2K	NCOR1
		EGFR	NF1
		EIF2AK1	NF2
		EIF2AK2	NFE2L2
		EIF2AK3	NIPBL
		EIF2AK4	NOTCH1
		EPHA1	NOTCH2
		EPHA10	NPM1
		EPHA2	NRAS
		EPHA3	NSD1
		EPHA4	NUP133
		EPHA5	NUP93
		EPHA6	PAX5
		EPHA7	PBRM1
		EPHA8	PCBP1
		EPHB1	PDGFRA
		EPHB2	PDS5B
		EPHB3	PGR
		EPHB4	PHF6
		EPHB6	PIK3CA
		ERBB2	PIK3CB
		ERBB3	PIK3CG
		ERBB4	PIK3R1
		ERN1	PIK3R2
		ERN2	PIM1
		ETNK1	PLCB4
		ETNK2	PLCG1
		FASTK	PLXNB2
		FASTKD1	PMS1
		FASTKD2	PMS2
		FASTKD3	POLE
		FASTKD5	POLQ
		FER	POLRMT
		FES	PPM1D
		FGFR1	PPP2R1A
		FGFR2	PPP6C
		FGFR3	PRKAR1A
		FGFR4	PSIP1
		FGGY	PTCH1
		FGR	PTEN
		FLT1	PTMA
		FLT3	PTPDC1
		FLT3LG	PTPN11
		FLT4	PTPRC
		FN3K	PTPRD
		FN3KRP	RAC1
		FRK	RAD21
		FUK	RAF1
		FYN	RARA
		GAK	RASA1
		GALK1	RB1
		GALK2	RBM10
		GCK	RET
		GK	RFC1
		GK2	RHEB
		GK5	RHOA
		GKAP1	RHOB
		GLYCTK	RIT1
		GNE	RNF111
		GRK1	RNF43
		GRK4	RPL22
		GRK5	RPL5
		GRK6	RPS6KA3
		GRK7	RQCD1
		GSG2	RRAS2
		GSK3A	RUNX1
		GSK3B	RXRA
		GUCY2C	SCAF4
		GUK1	SETBP1
		HCK	SETD2
		HIPK1	SF1
		HIPK2	SF3B1
		HIPK3	SIN3A
		HIPK4	SMAD2
		HK1	SMAD4
		HK2	SMARCA1
		HK3	SMARCA4
		HKDC1	SMARCB1
		HSPB8	SMC1A
		HUNK	SMC3
		HYKK	SOS1
		ICK	SOX17
		IDNK	SOX9
		IGF1R	SPOP
		IKBKB	SPTA1
		IKBKE	SPTAN1
		ILK	SRSF2
		IMPG1	STAG2
		INSR	STK11
		INSRR	TAF1
		IP6K1	TBL1XR1
		IP6K2	TBX3
		IP6K3	TCEB1
		IPMK	TCF12
		IPPK	TCF7L2
		IRAK1	TET2
		IRAK2	TGFBR2
		IRAK3	TGIF1
		IRAK4	THRAP3
		ITK	TLR4
		ITPK1	TMSB4X
		ITPKA	TNFAIP3
		ITPKB	TP53
		ITPKC	TRAF3
		JAK1	TSC1
		JAK2	TSC2
		JAK3	TXNIP
		KALRN	U2AF1
		KDR	UNCX
		KIT	USP9X
		KNDC1	VHL
		KSR1	WHSC1
		KSR2	WT1
		LATS1	XPO1
		LATS2	ZBTB20
		LCK	ZBTB7B
		LIMK1	ZC3H12A
		LIMK2	ZCCHC12
		LMTK2	ZFHX3
		LMTK3	ZFP36L1
		LRGUK	ZFP36L2
		LRRK1	ZMYM2
		LRRK2	ZMYM3
		LTK	ZNF133
		LYN	ZNF750
		MADD	
		MAGI1	
		MAGI2	
		MAGI3	
		MAK	
		MAP2K1	
		MAP2K2	
		MAP2K3	
		MAP2K4	
		MAP2K5	
		MAP2K6	
		MAP2K7	
		MAP3K1	
		MAP3K10	
		MAP3K11	
		MAP3K12	
		MAP3K13	
		MAP3K14	
		MAP3K15	
		MAP3K19	
		MAP3K2	
		MAP3K3	
		MAP3K4	
		MAP3K5	
		MAP3K6	
		MAP3K7	
		MAP3K8	
		MAP3K9	
		MAP4K1	
		MAP4K2	
		MAP4K3	
		MAP4K4	
		MAP4K5	
		MAPK1	
		MAPK10	
		MAPK11	
		MAPK12	
		MAPK13	
		MAPK14	
		MAPK15	
		MAPK3	
		MAPK4	
		MAPK6	
		MAPK7	
		MAPK8	
		MAPK9	
		MAPKAPK2	
		MAPKAPK3	
		MAPKAPK5	
		MARK1	
		MARK2	
		MARK3	
		MARK4	
		MAST1	
		MAST2	
		MAST3	
		MAST4	
		MASTL	
		MATK	
		MELK	
		MERTK	
		MET	
		MINK1	
		MKNK1	
		MKNK2	
		MLKL	
		MNAT1	
		MOK	
		MOS	
		MST1	
		MST1R	
		MTOR	
		MUSK	
		MVK	
		MYLK	
		MYLK2	
		MYLK3	
		MYLK4	
		MYO3A	
		MYO3B	
		MYT1	
		NADK	
		NADK2	
		NAGK	
		NDRG1	
		NEK1	
		NEK10	
		NEK11	
		NEK2	
		NEK3	
		NEK4	
		NEK5	
		NEK6	
		NEK7	
		NEK8	
		NEK9	
		NIM1K	
		NLK	
		NME1	
		NME2	
		NME3	
		NME4	
		NME6	
		NMRK1	
		NMRK2	
		NPR1	
		NPR2	
		NR4A3	
		NRBP1	
		NRBP2	
		NRK	
		NTRK1	
		NTRK2	
		NTRK3	
		NUAK1	
		NUAK2	
		NUMBL	
		OBSCN	
		OSR1	
		OXSR1	
		PAK1	
		PAK2	
		PAK3	
		PAK4	
		PAK6	
		PAK7	
		PANK1	
		PANK2	
		PANK3	
		PANK4	
		PASK	
		PBK	
		PDGFRA	
		PDGFRB	
		PDIK1L	
		PDK1	
		PDK2	
		PDK3	
		PDK4	
		PDPK1	
		PDXK	
		PEAK1	
		PFKFB1	
		PFKFB2	
		PFKFB3	
		PFKFB4	
		PFKL	
		PFKM	
		PFKP	
		PGK1	
		PGK2	
		PHKA1	
		PHKA2	
		PHKB	
		PHKG1	
		PHKG2	
		PI4K2A	
		PI4K2B	
		PI4KA	
		PI4KB	
		PIK3AP1	
		PIK3C2A	
		PIK3C2B	
		PIK3C2G	
		PIK3C3	
		PIK3CA	
		PIK3CB	
		PIK3CD	
		PIK3CG	
		PIK3R1	
		PIK3R2	
		PIK3R3	
		PIK3R4	
		PIK3R5	
		PIK3R6	
		PIKFYVE	
		PIM1	
		PIM2	
		PIM3	
		PINK1	
		PIP4K2A	
		PIP4K2B	
		PIP4K2C	
		PIP5K1A	
		PIP5K1B	
		PIP5K1C	
		PKD1	
		PKD2	
		PKD3	
		PKDCC	
		PKLR	
		PKM	
		PKMYT1	
		PKN1	
		PKN2	
		PKN3	
		PLAU	
		PLK1	
		PLK2	
		PLK3	
		PLK4	
		PLK5	
		PMVK	
		PNCK	
		PNKP	
		POMK	
		PPIP5K1	
		PPIP5K2	
		PRKAA1	
		PRKAA2	
		PRKAB1	
		PRKAB2	
		PRKACA	
		PRKACB	
		PRKACG	
		PRKAG1	
		PRKAG2	
		PRKAG3	
		PRKAR1A	
		PRKAR1B	
		PRKAR2A	
		PRKAR2B	
		PRKCA	
		PRKCB	
		PRKCD	
		PRKCE	
		PRKCG	
		PRKCH	
		PRKCI	
		PRKCQ	
		PRKCZ	
		PRKD1	
		PRKD2	
		PRKD3	
		PRKDC	
		PRKG1	
		PRKG2	
		PRKRA	
		PRKRIR	
		PRKX	
		PRKY	
		PRPF4	
		PRPF4B	
		PSKH1	
		PSKH2	
		PSTK	
		PTK2	
		PTK2B	
		PTK6	
		PTK7	
		PXK	
		RAF1	
		RBKS	
		RET	
		RFK	
		RIOK1	
		RIOK2	
		RIOK3	
		RIPK1	
		RIPK2	
		RIPK3	
		RIPK4	
		RNASEL	
		ROCK1	
		ROCK2	
		ROR1	
		ROR2	
		ROS1	
		RPS6KA1	
		RPS6KA2	
		RPS6KA3	
		RPS6KA4	
		RPS6KA5	
		RPS6KA6	
		RPS6KB1	
		RPS6KB2	
		RPS6KC1	
		RPS6KL1	
		RYK	
		SBK1	
		SBK2	
		SBK3	
		SCYL1	
		SCYL2	
		SCYL3	
		SGK1	
		SGK2	
		SGK3	
		SHPK	
		SIK1	
		SIK2	
		SIK3	
		SLC22A18	
		SLK	
		SMG1	
		SNRK	
		SPEG	
		SPHK1	
		SPHK2	
		SRC	
		SRM	
		SRMS	
		SRPK1	
		SRPK2	
		SRPK3	
		STK10	
		STK11	
		STK16	
		STK17A	
		STK17B	
		STK19	
		STK24	
		STK25	
		STK26	
		STK3	
		STK31	
		STK32A	
		STK32B	
		STK32C	
		STK33	
		STK35	
		STK36	
		STK38	
		STK38L	
		STK39	
		STK4	
		STK40	
		STKLD1	
		STRADA	
		STRADB	
		STYK1	
		SYK	
		TAF1	
		TAF1L	
